DATA	C1	C2	C3	C4	C5	C6	C7	C8
R35	550.01	30	2400.2	14877.73	50	230	270	310
R36	490.01	20	2690.25	14607.46	50	170	280	350
R37	610.01	20	2580.23	14737.59	30	160	220	320
R38	530.01	40	2400.2	14006.86	20	190	220	420.01
R39	550.01	20	2250.18	14637.49	50	210	210	340
R40	600.01	20	2470.21	14307.15	20	200	170	360
R41	630.01	60	2130.16	14247.09	20	180	120	320
R42	380.01	20	2430.21	14597.45	50	150	160	400.01
R43	460.01	20	2300.18	14987.85	10	90	210	390.01
R44	610.01	10	2510.22	13896.75	40	120	240	380.01
R45	570.01	60	2500.22	14126.97	40	240	130	510.01
R46	450.01	30	2300.18	13816.67	20	120	230	380.01
R47	540.01	0	2320.19	14187.03	60	100	300	380.01
R48	550.01	20	2520.22	14006.86	20	150	250	390.01
R49	580.01	40	2310.19	13756.61	60	130	190	410.01
R50	570.01	20	2560.23	14787.64	30	150	220	350
R51	480.01	20	2430.21	14207.05	10	150	200	370.01
R52	730.02	20	2320.19	14257.1	50	130	260	330
R53	450.01	40	2600.24	14387.23	20	110	350	330
R54	430.01	20	2340.19	13816.67	20	130	220	430.01
R55	510.01	30	2510.22	14016.87	10	100	220	320
R56	530.01	50	2380.2	13826.68	30	200	240	420.01
R57	590.01	20	2450.21	15097.97	30	150	220	440.01
R58	490.01	30	2260.18	13766.62	20	140	240	320
R59	610.01	40	2520.22	14056.9	20	120	170	350
R60	570.01	30	2380.2	13706.57	20	150	240	390.01
R61	620.01	10	2630.24	13956.81	10	130	240	560.01
R62	500.01	20	2550.23	13246.13	0	70	280	370.01
R63	490.01	20	2550.23	13656.52	20	180	300	350
R64	520.01	20	2560.23	13616.48	30	170	250	320
R65	510.01	20	2490.22	13956.81	0	160	250	480.01
R66	590.01	10	2550.23	13316.2	30	160	210	360
R67	480.01	30	1990.14	13336.22	10	160	250	420.01
R68	580.01	30	2140.16	14126.97	20	150	160	300
R69	570.01	30	2400.2	13766.62	30	110	290	410.01
R70	570.01	50	2410.2	13196.09	40	180	170	370.01
R71	680.02	0	2200.17	13526.39	40	160	270	350
R72	520.01	20	2630.24	13746.6	30	170	270	420.01
R73	560.01	30	2460.21	13306.19	40	160	200	370.01
R74	410.01	10	2340.19	13025.93	10	170	310	330
R75	520.01	30	2520.22	13256.14	30	100	300	380.01
R76	440.01	20	2380.2	13476.35	40	140	210	490.01
R77	540.01	10	2360.19	13416.29	20	130	240	380.01
R78	570.01	30	2850.28	13366.24	30	120	200	450.01
R79	660.02	10	2490.22	12675.61	10	130	280	340
R80	430.01	20	2420.2	13656.52	20	210	230	380.01
R81	650.01	40	2510.22	13146.04	30	90	190	310
R82	460.01	50	2290.18	13196.09	10	120	310	340
R83	650.01	20	2600.24	12805.73	40	130	210	290
R84	500.01	40	2420.2	14317.16	10	190	250	390.01
R85	550.01	30	2460.21	13876.73	30	120	170	420.01
R86	600.01	20	2400.2	14187.03	30	160	240	400.01
R87	640.01	20	2410.2	12885.8	20	200	320	510.01
R88	560.01	30	2820.28	13116.01	20	140	320	390.01
R89	440.01	0	2550.23	12325.31	50	120	250	340
R90	520.01	30	2540.22	13566.43	10	140	300	300
R91	460.01	20	2470.21	12795.72	0	160	240	410.01
R92	450.01	20	2550.23	12975.88	30	140	240	340
R93	680.02	20	2500.22	13246.13	50	130	210	340
R94	600.01	50	2450.21	13156.05	20	140	300	350
R95	540.01	20	2500.22	13085.98	40	160	250	320
R96	600.01	40	2290.18	13055.96	20	160	270	310
R97	430.01	40	2560.23	13035.94	10	170	300	290
R98	590.01	60	2610.24	12825.75	50	150	260	380.01
R99	540.01	10	2330.19	12545.5	30	140	330	340
R100	420.01	30	2420.2	12585.53	30	140	250	440.01
R101	450.01	20	2570.23	13055.96	30	190	200	330
R102	590.01	50	2610.24	12825.75	20	130	330	330
R103	480.01	40	2380.2	13035.94	20	120	240	460.01
R104	670.02	60	2590.23	13416.29	30	200	250	370.01
R105	550.01	20	2280.18	12245.24	30	160	260	460.01
R106	550.01	10	2320.19	12655.6	60	160	290	390.01
R107	530.01	0	2280.18	12345.32	40	110	300	450.01
R108	560.01	20	2250.18	12505.46	10	190	190	420.01
R109	660.02	60	2510.22	12625.57	30	100	160	410.01
R110	460.01	20	2360.19	12955.86	20	150	220	310
R111	560.01	50	2330.19	12265.26	20	120	180	420.01
R112	460.01	10	2300.18	13276.16	10	170	300	380.01
R113	540.01	10	2430.21	12615.56	40	160	240	290
R114	430.01	60	2330.19	12165.17	20	200	220	470.01
R115	570.01	20	2480.21	12545.5	30	120	290	400.01
R116	690.02	20	2340.19	13015.92	30	180	280	350
R117	510.01	0	2600.24	12785.71	20	200	210	330
R118	450.01	10	2310.19	12465.43	10	180	240	300
R119	490.01	50	2590.23	12665.6	30	90	310	430.01
R120	560.01	10	2410.2	12855.77	10	160	300	540.01
R121	660.02	30	2320.19	12135.15	10	150	240	500.01
R122	560.01	0	2310.19	12065.09	10	130	280	380.01
R123	590.01	60	2560.23	13085.98	20	190	270	390.01
R124	380.01	70	2670.25	12605.55	20	200	120	310
R125	580.01	20	2630.24	12565.52	10	190	220	300
R126	450.01	40	2580.23	13166.06	20	70	230	320
R127	550.01	30	2350.19	12365.34	50	160	290	380.01
R128	560.01	10	2460.21	12385.36	10	110	300	300
R129	620.01	20	2680.25	12975.88	20	150	270	350
R130	570.01	0	2480.21	12035.06	40	110	170	440.01
R131	510.01	70	2100.15	12375.35	20	80	230	310
R132	400.01	30	2290.18	12495.46	20	100	280	350
R133	460.01	20	2700.25	12215.21	20	100	210	400.01
R134	500.01	30	2430.21	11624.72	40	180	310	430.01
R135	600.01	30	2680.25	12555.51	30	160	300	420.01
R136	510.01	70	2170.16	12475.44	30	140	250	360
R137	460.01	10	2460.21	12455.42	10	80	320	340
R138	470.01	20	2360.19	12195.2	10	100	280	380.01
R139	580.01	20	2610.24	12335.32	50	140	250	470.01
R140	490.01	10	2420.2	12495.46	30	100	160	380.01
R141	490.01	0	2160.16	12495.46	10	110	230	460.01
R142	430.01	30	2660.25	12735.67	30	120	180	330
R143	420.01	50	2320.19	12145.15	10	190	290	290
R144	460.01	10	2510.22	12595.54	20	80	150	390.01
R145	490.01	10	2490.22	12295.28	10	230	200	450.01
R146	500.01	20	2460.21	12345.32	50	130	230	490.01
R147	500.01	0	2580.23	12915.83	10	80	200	370.01
R148	530.01	20	2270.18	12315.3	20	140	210	330
R149	520.01	30	2400.2	12125.14	60	170	240	430.01
R150	510.01	30	2300.18	12035.06	0	170	230	380.01
R151	480.01	40	2160.16	12135.15	20	170	190	360
R152	550.01	20	2460.21	11154.35	30	150	240	320
R153	560.01	20	2170.16	11854.91	10	170	210	360
R154	570.01	10	2420.2	12435.4	10	100	250	400.01
R155	600.01	20	2250.18	11734.81	30	170	240	320
R156	670.02	40	2410.2	11904.95	50	140	390.01	430.01
R157	630.01	20	2600.24	11944.99	10	140	150	390.01
R158	490.01	60	2430.21	12245.24	50	170	210	280
R159	590.01	20	2570.23	12255.25	20	140	140	350
R160	490.01	40	2650.25	11904.95	10	170	280	460.01
R161	500.01	0	2250.18	11634.73	70	150	200	410.01
R162	600.01	20	2300.18	12465.43	10	150	270	350
R163	470.01	20	2510.22	11914.96	40	100	300	340
R164	650.01	10	2470.21	11824.89	20	150	250	520.01
R165	440.01	30	2340.19	11744.82	10	160	200	410.01
R166	500.01	20	2340.19	11874.93	30	100	300	290
R167	470.01	20	2460.21	12305.29	20	140	280	300
R168	490.01	30	2570.23	12355.33	30	160	210	330
R169	620.01	10	2320.19	12685.62	20	170	310	470.01
R170	410.01	20	2410.2	12005.04	10	180	250	440.01
R171	710.02	40	2600.24	11844.9	50	150	200	430.01
R172	540.01	20	2140.16	11814.88	20	170	180	320
R173	560.01	10	2330.19	12155.16	20	170	190	420.01
R174	600.01	30	2470.21	11474.6	30	90	210	370.01
R175	550.01	30	2430.21	12025.05	10	240	220	330
R176	580.01	50	2400.2	12295.28	30	40	250	400.01
R177	600.01	40	2420.2	12385.36	70	170	170	360
R178	620.01	30	2240.18	12285.27	40	160	210	440.01
R179	500.01	40	2450.21	12075.09	40	80	250	320
R180	600.01	30	2330.19	11914.96	20	160	240	450.01
R181	440.01	40	2630.24	12065.09	40	180	210	410.01
R182	500.01	20	2180.17	12265.26	30	170	170	390.01
R183	480.01	60	2460.21	11834.89	30	180	230	550.01
R184	510.01	20	2450.21	11234.41	60	200	220	450.01
R185	520.01	30	2370.2	11874.93	20	200	230	320
R186	560.01	30	2450.21	12285.27	30	130	260	420.01
R187	520.01	30	2690.25	12055.08	30	120	300	370.01
R188	470.01	30	2340.19	12705.64	40	100	150	530.01
R189	520.01	20	2400.2	11464.59	0	180	360	390.01
R190	610.01	10	2140.16	11534.65	10	110	200	310
R191	660.02	40	2400.2	11794.86	10	210	200	530.01
R192	480.01	10	2280.18	12005.04	40	230	220	450.01
R193	620.01	20	2580.23	12045.07	20	210	220	330
R194	400.01	10	2360.19	11334.49	0	120	230	290
R195	390.01	30	2440.21	12245.24	10	180	190	310
R196	560.01	30	2580.23	11544.66	30	100	230	440.01
R197	610.01	10	2480.21	12475.44	20	120	210	360
R198	480.01	10	2250.18	11254.43	30	80	340	300
R199	560.01	40	2600.24	11804.87	0	160	300	450.01
R200	590.01	40	2700.25	12285.27	0	190	180	400.01
R201	510.01	10	2440.21	11854.91	20	160	270	340
R202	580.01	20	2810.28	12235.23	10	160	280	320
R203	580.01	20	2540.22	12125.14	20	260	200	430.01
R204	710.02	30	2530.22	11764.84	0	90	230	350
R205	620.01	20	2400.2	11614.72	20	170	250	460.01
R206	650.01	30	2330.19	12305.29	30	100	260	360
R207	540.01	0	2520.22	11914.96	40	120	270	360
R208	580.01	20	2460.21	12755.68	20	150	250	460.01
R209	720.02	20	2470.21	11484.61	30	160	210	400.01
R210	550.01	20	2640.24	11404.55	80	180	220	470.01
R211	480.01	30	2510.22	12035.06	20	150	190	350
R212	540.01	20	2290.18	12065.09	10	200	180	340
R213	700.02	30	2380.2	11584.69	40	180	260	350
R214	590.01	20	2280.18	11975.01	50	200	210	360
R215	590.01	10	2680.25	12125.14	30	150	310	350
R216	620.01	40	2420.2	11694.78	20	210	210	410.01
R217	620.01	10	2420.2	12025.05	60	100	250	360
R218	750.02	10	2360.19	12075.09	20	160	220	400.01
R219	640.01	20	2220.17	11914.96	30	170	190	300
R220	670.02	50	2530.22	12695.63	30	110	200	280
R221	620.01	40	2270.18	12805.73	50	100	210	290
R222	610.01	60	2620.24	12405.38	20	130	250	420.01
R223	690.02	90	2530.22	12185.19	20	150	280	370.01
R224	880.03	30	2030.14	12215.21	20	110	300	420.01
R225	780.02	30	2540.22	12855.77	20	180	310	350
R226	830.02	90	2210.17	12565.52	30	60	240	410.01
R227	1010.04	90	2140.16	12655.6	20	210	300	330
R228	1050.04	60	2560.23	12855.77	50	150	260	300
R229	920.03	20	2380.2	12475.44	50	120	300	380.01
R230	1400.07	40	2460.21	13106	60	130	260	410.01
R231	1610.09	110	2390.2	13486.36	40	140	280	320
R232	1900.13	90	2180.17	13506.37	90	110	330	370.01
R233	2320.19	50	2580.23	13336.22	110	200	290	400.01
R234	2420.2	60	2800.27	13926.78	80	200	300	370.01
R235	3380.4	170	2500.22	13846.7	140	250	340	340
R236	3810.51	130	2380.2	15318.2	160	200	360	360
R237	4550.72	180	2510.22	15458.35	140	240	330	480.01
R238	4870.83	110	2320.19	16399.4	180	200	370	260
R239	5641.11	220	2620.24	16529.55	200	270	500.01	360
R240	6191.33	180	2480.21	18922.51	200	240	570.01	400.01
R241	6611.52	330	2610.24	19262.96	220	330	490.01	370.01
R242	7602.01	270	2570.23	20254.33	300	280	650.02	520.01
R243	8042.25	260	2610.24	22237.27	350	380.01	650.02	420.01
R244	8762.67	340	2560.23	23118.67	300	320	600.01	410.01
R245	9192.94	390.01	3310.38	25973.56	420.01	370	730.02	370.01
R246	10563.88	490.01	3480.42	29390.17	530.01	230	620.01	550.01
R247	10563.88	630.01	3590.45	33298.72	510.01	330	610.01	520.01
R248	11244.4	670.02	3970.55	37017.84	660.02	350	580.01	410.01
R249	11924.95	660.02	4100.59	39895.57	760.02	430.01	720.02	390.01
R250	12175.15	890.03	4380.67	42332.56	780.02	410.01	700.02	500.01
R251	13526.36	910.03	4680.76	43917.32	1140.05	430.01	680.02	590.01
R252	14567.38	880.03	4660.76	46174.41	1110.04	310	810.02	740.02
R253	15228.06	890.03	4510.71	47759.61	1250.05	440.01	860.03	610.01
R254	16849.88	1170.05	4410.68	46425.23	1410.07	270	660.02	760.02
R255	16929.97	1100.04	3900.53	47448.58	1370.07	310	650.02	730.02
R256	18191.51	1100.04	4750.79	46826.53	1500.08	370	620.01	700.02
R257	18722.19	1210.05	4080.58	47067.32	1560.09	570.01	740.02	630.01
R258	19543.28	1060.04	4220.62	47408.45	1530.08	330	720.02	710.02
R259	19643.42	1400.07	4180.61	46044	1730.1	410.01	600.01	640.02
R260	19803.64	1120.04	3990.56	47589.04	1670.1	370	780.02	690.02
R261	18371.74	1270.06	3850.52	45080.93	1530.08	520.01	770.02	830.03
R262	19242.88	1050.04	3840.51	43857.14	1610.09	360	840.03	950.03
R263	18972.52	1340.06	3680.47	43305.46	1450.07	510.01	900.03	940.03
R264	19092.68	1090.04	3360.39	43255.31	1590.09	480.01	830.02	790.02
R265	17120.19	1430.07	3710.48	42422.83	1570.09	360	840.03	900.03
R266	17280.38	1250.05	3430.41	40868.31	1630.09	480.01	800.02	820.03
R267	16279.22	1200.05	3260.37	42382.7	1800.11	440.01	850.03	810.02
R268	15388.23	1280.06	3260.37	42131.97	1790.11	580.01	870.03	770.02
R269	14917.74	1370.07	3680.47	41660.59	1310.06	610.01	1020.04	810.02
R270	14957.78	1160.05	3320.38	42152.03	1730.1	650.02	1000.04	930.03
R271	14146.96	1210.05	3440.41	42513.09	1610.09	620.01	1080.04	860.03
R272	13236.09	1260.06	3270.37	41429.92	1570.09	650.02	1060.04	1060.04
R273	13326.18	1310.06	3680.47	41460	1560.09	960.03	1170.05	1050.04
R274	12945.83	1070.04	3520.43	42462.94	1560.09	770.02	1280.06	1020.04
R275	12135.12	1470.08	3530.43	42643.48	1810.11	880.03	1310.06	1030.04
R276	11934.95	1230.05	3420.41	42813.99	1520.08	960.03	1420.07	1100.05
R277	11644.72	1350.06	3400.4	41540.23	1630.09	740.02	1410.07	1070.04
R278	11264.41	1200.05	3490.42	42212.2	1900.13	900.03	1480.08	1130.05
R279	10673.96	1260.06	3730.49	41520.18	1450.07	1150.05	1610.09	1280.06
R280	10143.58	1540.08	3650.46	40025.93	1570.09	980.03	1460.08	1100.05
R281	10113.56	1350.06	3310.38	41379.77	1550.08	1090.04	1530.08	1310.06
R282	9463.11	1270.06	3830.51	41189.23	1710.1	1050.04	1510.08	1340.07
R283	8792.69	1280.06	3850.52	42061.76	1740.11	930.03	1560.09	1270.06
R284	8512.52	1130.04	3780.5	41199.26	1600.09	930.03	1560.09	1230.06
R285	9092.88	1520.08	3370.4	41449.97	1910.13	1070.04	1580.09	1340.07
R286	8782.68	1240.05	3740.49	40547.4	1950.13	770.02	1930.13	1460.08
R287	8202.34	1190.05	3340.39	40537.37	1950.13	860.03	1560.09	1380.07
R288	8112.29	1200.05	3940.54	40386.94	2110.16	1050.04	1730.11	1520.09
R289	7652.04	1530.08	3520.43	39795.29	2050.15	1120.04	1520.08	1340.07
R290	7712.07	1280.06	3920.54	39564.65	1860.12	930.03	1850.12	1210.06
R291	6801.61	1430.07	4050.57	40176.35	2070.15	1120.04	1960.14	1320.07
R292	7231.82	1060.04	3700.48	39845.42	1550.08	1240.05	1650.1	1500.08
R293	7291.85	1330.06	3390.4	37669.54	2060.15	1180.05	1890.13	1440.08
R294	6461.45	1090.04	3750.49	37368.75	1660.1	900.03	1790.11	1820.12
R295	6841.63	1200.05	3900.53	38662.18	2000.14	1120.04	2010.14	1870.13
R296	6011.26	1350.06	3550.44	37228.39	2300.19	1250.06	2050.15	1840.13
R297	6411.43	980.03	3450.42	37579.31	1980.14	1420.07	2520.23	2230.19
R298	5821.18	1010.04	3670.47	36787.25	1670.1	1540.08	2640.25	2710.28
R299	6061.28	1120.04	3790.5	37619.41	1960.13	1780.11	2980.32	2800.3
R300	5921.22	1110.04	3710.48	36316.05	1820.12	1940.13	3110.35	3110.36
R301	5811.18	1050.04	3320.38	37168.23	1840.12	2130.16	3620.47	3110.36
R302	5371	930.03	3510.43	35915.04	2020.14	2260.18	3870.54	3370.43
R303	5821.18	1020.04	3510.43	36767.2	1920.13	1900.13	4010.58	3700.52
R304	5451.03	1010.04	3570.44	35674.44	1740.11	2420.21	4220.64	4070.62
R305	5230.95	920.03	3870.52	36616.81	1860.12	2500.22	3930.55	4310.7
R306	5391.01	970.03	3690.48	35955.14	1890.13	2460.22	4060.59	4080.63
R307	5240.96	1040.04	3540.44	36265.92	1610.09	2460.22	4180.62	4120.64
R308	4900.84	1090.04	3320.38	36526.59	1580.09	2420.21	3770.51	4560.78
R309	5060.89	1040.04	3390.4	37088.02	1620.09	2240.18	3820.52	4030.61
R310	4510.71	1110.04	3470.42	36245.87	1920.13	2190.17	3750.5	3260.4
R311	4770.79	1130.04	3140.34	35534.09	1530.08	2250.18	3730.5	3870.56
R312	4710.77	1160.05	3300.38	35253.39	1490.08	2030.15	3910.55	3780.54
R313	4660.76	980.03	3170.35	36656.92	1480.08	1790.11	3580.46	3340.42
R314	4770.79	1080.04	3270.37	36626.84	1400.07	1900.13	3270.38	3400.44
R315	4600.74	940.03	3420.41	35794.73	1340.06	1750.11	3180.36	3190.38
R316	5180.93	970.03	3520.43	34421.37	1340.06	1560.09	3000.32	2980.34
R317	4710.77	1050.04	3300.38	34371.25	1230.05	1690.1	3040.33	2870.31
R318	4590.73	1230.05	3030.32	34431.39	1380.07	1710.1	2800.28	2540.24
R319	3990.55	1090.04	3030.32	33689.63	1460.07	1190.05	2320.19	2520.24
R320	4680.76	1100.04	3150.35	33709.67	1260.06	1580.09	2610.24	2260.19
R321	5210.94	880.03	2900.29	33579.37	1300.06	1470.08	2560.23	2060.16
R322	4970.86	1300.06	3270.37	33088.23	1310.06	1400.07	2430.21	1810.12
R323	4760.79	980.03	3380.4	32988	1390.07	1370.07	2290.19	2080.16
R324	4490.7	1060.04	3260.37	32777.51	1300.06	1270.06	2160.17	1930.14
R325	4380.67	990.03	3280.38	32126.04	1300.06	1220.05	2060.15	1680.11
R326	4000.56	1070.04	3140.34	33398.95	1520.08	1180.05	2050.15	1780.12
R327	4260.63	1050.04	3190.36	33348.83	1120.04	1130.05	1920.13	1770.12
R328	4030.56	750.02	3130.34	32737.42	1280.06	1170.05	1900.13	1750.12
R329	4020.56	1070.04	3260.37	33268.65	1230.05	1330.06	2030.15	1530.09
R330	4040.57	1020.04	3040.32	31685.06	1260.06	1160.05	1970.14	1450.08
R331	3800.5	870.03	2770.27	32316.47	1350.06	1110.04	1810.12	1570.09
R332	4210.62	1060.04	3210.36	31675.04	1390.07	1160.05	1820.12	1450.08
R333	3880.52	1030.04	2900.29	31735.17	1330.06	1080.04	1710.1	1370.07
R334	3750.49	910.03	2970.31	32787.54	1330.06	950.03	1990.14	1190.05
R335	3860.52	890.03	2810.28	31574.81	1090.04	970.03	1730.11	1250.06
R336	3530.43	860.03	2810.28	33098.25	1260.06	860.03	1590.09	1240.06
R337	3240.37	750.02	2850.28	31755.21	1170.05	990.04	1460.08	1300.06
R338	3510.43	670.02	2820.28	31514.68	1440.07	830.02	1400.07	1170.05
R339	3530.43	840.02	2680.25	31003.57	1130.04	980.03	1380.07	1190.05
R340	3540.44	750.02	2800.27	31143.87	1020.04	760.02	1390.07	1130.05
R341	3140.34	850.03	3050.32	30763.05	1200.05	840.03	1280.06	1110.05
R342	3020.32	650.01	2740.26	31324.26	1100.04	950.03	1620.09	1110.05
R343	3320.38	700.02	2860.29	31013.59	1210.05	730.02	1440.07	1010.04
R344	3170.35	470.01	2530.22	30883.31	1040.04	680.02	1230.05	920.03
R345	3200.36	580.01	2670.25	30602.71	1120.04	780.02	1230.05	930.03
R346	3190.35	750.02	2450.21	32035.84	1080.04	700.02	1040.04	870.03
R347	2980.31	800.02	2880.29	30873.29	1050.04	610.01	1250.06	1030.04
R348	3130.34	600.01	2670.25	30462.41	1050.04	860.03	1120.04	1130.05
R349	2830.28	610.01	2760.27	30141.73	920.03	720.02	1190.05	1050.04
R350	3080.33	640.01	2560.23	30642.79	950.03	690.02	970.03	1000.04
R351	2940.3	640.01	2580.23	31474.59	850.03	620.01	1220.05	710.02
R352	2820.28	560.01	2800.27	30161.77	750.02	520.01	1040.04	1010.04
R353	2690.25	530.01	2590.23	30462.41	770.02	560.01	930.03	970.04
R354	2760.27	590.01	2380.2	28879.13	610.01	610.01	1000.04	610.01
R355	2730.26	560.01	2510.22	28909.19	600.01	740.02	1040.04	900.03
R356	2390.2	480.01	2650.25	29490.37	590.01	540.01	920.03	860.03
R357	2500.22	560.01	2770.27	29760.94	750.02	470.01	910.03	620.01
R358	2470.21	420.01	2630.24	28548.46	670.02	610.01	860.03	830.03
R359	2350.19	520.01	2570.23	28859.09	820.02	410.01	1030.04	850.03
R360	2130.16	440.01	2690.25	28017.41	530.01	550.01	770.02	890.03
R361	2210.17	550.01	2740.26	28859.09	670.02	530.01	840.03	820.03
R362	2260.18	620.01	2580.23	26775.04	530.01	450.01	760.02	960.03
R363	2340.19	470.01	2620.24	27125.7	600.01	490.01	810.02	810.02
R364	2540.22	490.01	2660.25	26684.87	480.01	570.01	960.03	830.03
R365	2150.16	540.01	2960.31	26474.48	450.01	510.01	1070.04	840.03
R366	2280.18	350	2460.21	25803.26	590.01	570.01	790.02	930.03
R367	2140.16	400.01	2550.23	25582.86	460.01	580.01	710.02	840.03
R368	2090.15	530.01	2390.2	25372.48	550.01	550.01	830.02	920.03
R369	1820.12	540.01	2590.23	25112.03	480.01	430.01	870.03	1030.04
R370	1970.14	480.01	2550.23	25112.03	500.01	520.01	810.02	770.02
R371	2280.18	340	2770.27	24350.71	510.01	610.01	900.03	880.03
R372	2160.16	460.01	2140.16	24160.39	400.01	620.01	950.03	1070.04
R373	1910.13	370	2630.24	24811.5	520.01	590.01	930.03	1230.06
R374	1850.12	410.01	2580.23	24020.15	570.01	620.01	1030.04	1140.05
R375	1900.13	340	2670.25	22788.14	480.01	600.01	920.03	1090.04
R376	1750.11	370	2670.25	23028.53	410.01	670.02	1070.04	1420.08
R377	1790.11	480.01	2740.26	22918.35	380.01	570.01	1110.04	1080.04
R378	1660.1	490.01	2650.25	22337.43	350	510.01	930.03	1200.05
R379	1890.12	450.01	2340.19	22077.02	400.01	580.01	800.02	1240.06
R380	1970.14	510.01	2880.29	22938.38	430.01	500.01	910.03	1320.07
R381	1820.12	460.01	2690.25	21476.11	420.01	610.01	1110.04	1030.04
R382	1910.13	370	2590.23	21936.81	450.01	530.01	1160.05	1050.04
R383	1890.12	530.01	2550.23	21726.49	470.01	640.01	730.02	1050.04
R384	1840.12	450.01	2500.22	21295.84	400.01	590.01	830.02	970.04
R385	1730.1	520.01	2320.19	20674.93	390.01	360	730.02	1130.05
R386	1560.08	420.01	2510.22	20564.78	310	440.01	770.02	950.03
R387	1610.09	370	2610.24	21385.98	330	560.01	790.02	1230.06
R388	1630.09	530.01	2570.23	20494.67	360	480.01	710.02	1050.04
R389	1820.12	450.01	2650.25	21165.65	410.01	500.01	820.02	1090.04
R390	1580.09	550.01	2630.24	20024.01	370	310	790.02	1220.06
R391	1700.1	420.01	2560.23	20544.75	360	390.01	880.03	1190.05
R392	1350.06	490.01	2930.3	20634.88	370	370	1150.05	1260.06
R393	1580.09	510.01	2260.18	20604.83	470.01	470.01	640.01	1130.05
R394	1620.09	530.01	2410.2	19583.4	300	330	640.01	1310.06
R395	1810.11	470.01	2650.25	19683.53	460.01	560.01	780.02	1300.06
R396	1620.09	510.01	2250.18	19513.3	500.01	440.01	800.02	1400.07
R397	1810.11	600.01	2530.22	20554.76	370	480.01	640.01	1540.09
R398	1370.07	450.01	2660.25	19963.92	350	590.01	950.03	1860.13
R399	1680.1	460.01	2620.24	18431.87	350	480.01	810.02	2330.2
R400	1580.09	490.01	2540.22	19973.94	320	470.01	960.03	2470.23
R401	1450.07	600.01	2470.21	17951.26	370	580.01	920.03	2720.28
R402	1700.1	410.01	2710.26	19042.67	300	490.01	930.03	3240.4
R403	1530.08	450.01	2570.23	18872.44	300	410.01	1020.04	3690.51
R404	1580.09	500.01	2570.23	18672.18	170	560.01	1130.05	3750.53
R405	1670.1	460.01	2730.26	18341.75	250	560.01	970.03	4110.64
R406	1270.06	600.01	2490.22	18401.83	270	510.01	1040.04	4100.63
R407	1420.07	570.01	2630.24	18391.82	320	720.02	1090.04	4470.75
R408	1330.06	500.01	2650.25	19012.63	250	470.01	1040.04	3950.59
R409	1510.08	700.02	2130.16	18381.81	350	730.02	1110.04	4650.82
R410	1410.07	710.02	2590.23	17520.72	260	660.02	1150.05	4310.7
R411	1410.07	690.02	2400.2	17710.96	250	690.02	1470.08	3900.57
R412	1460.07	810.02	2390.2	17831.11	340	740.02	1210.05	3790.54
R413	1410.07	970.03	2390.2	17290.44	300	790.02	1220.05	4140.65
R414	1380.07	920.03	3000.31	17240.38	290	890.03	1240.06	4090.63
R415	1190.05	840.02	2860.29	16950.04	230	800.02	1290.06	3990.6
R416	1230.05	1050.04	2330.19	17891.18	230	790.02	1440.07	3950.59
R417	1410.07	980.03	2660.25	17320.48	330	910.03	1500.08	3990.6
R418	1230.05	1300.06	2600.24	17680.92	250	980.03	1740.11	4080.63
R419	1250.05	1100.04	2370.2	16579.6	300	1020.04	1550.09	4040.62
R420	1320.06	1100.04	2680.25	16970.06	290	980.03	1820.12	3800.54
